"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSMUSG00000021676"	0.732052732001118	5.02471579151335	128.753963754892	2.3078060799048e-15	9.19537967199514e-13
"ENSMUSG00000050730"	-0.626168351583823	4.05892177392138	127.494089575912	2.6709109921648e-15	1.0420447947973e-12
"ENSMUSG00000014164"	0.460182711940348	6.56814003872744	127.102164990788	2.82266846325982e-15	1.07877780227483e-12
"ENSMUSG00000042978"	0.65754486565427	6.44867290073616	125.587613839987	3.67069332079993e-15	1.37482147637241e-12
"ENSMUSG00000042216"	0.716314422655037	7.05378595437885	127.224529466115	4.02396770004364e-15	1.47758515919054e-12
"ENSMUSG00000111977"	-0.514542719872827	4.64963034425037	124.342014941052	4.18045849358292e-15	1.50552781171783e-12
"ENSMUSG00000079018"	0.695177039165217	4.74038393516573	123.704839801393	4.58128154882663e-15	1.61874829367691e-12
"ENSMUSG00000037224"	-0.492806708924525	5.42603277738351	123.359970720867	4.81471208506907e-15	1.66972431883497e-12
"ENSMUSG00000086765"	3.23117936308391	-1.5518825456202	118.468590568278	9.85074177720637e-15	3.35408802294079e-12
"ENSMUSG00000007682"	1.02258430654769	7.32340229937037	129.548138420514	1.06158767497583e-14	3.55006292665579e-12
"ENSMUSG00000032010"	-0.48296065459192	5.62085717865336	117.560662656967	1.12767346484392e-14	3.70490192563721e-12
"ENSMUSG00000051351"	-0.464173451146418	5.97627912575845	117.006540141808	1.22511390403456e-14	3.92308262732262e-12
"ENSMUSG00000053907"	0.442690504239129	7.69987598766964	116.947612342275	1.23597946821186e-14	3.92308262732262e-12
"ENSMUSG00000000126"	-0.658304769830102	4.32027668568163	116.010245656503	1.42297311368755e-14	4.44133625000447e-12
"ENSMUSG00000033685"	0.972679946345355	4.02371954630416	118.7376714728	1.63032814587221e-14	5.0051074078277e-12
"ENSMUSG00000052296"	0.279678893709372	7.49620924610767	114.185129584894	1.87646749616314e-14	5.6642488759313e-12
"ENSMUSG00000029153"	0.472370144703157	6.39420106540653	114.084349366031	1.90552506639436e-14	5.6642488759313e-12
"ENSMUSG00000019970"	0.89102785925609	5.69870254028268	121.773158161142	1.99120170205476e-14	5.82644285537178e-12
"ENSMUSG00000000223"	-0.356858136291388	6.95538881725496	113.275914348826	2.15625375502028e-14	6.2123329338869e-12
"ENSMUSG00000038982"	-0.599661723330005	3.35270271841337	112.105467229065	2.58169500473688e-14	7.32536399298599e-12
"ENSMUSG00000027540"	0.382675747691236	5.6623547019843	111.716829992537	2.74156839171981e-14	7.58863143579641e-12
"ENSMUSG00000031538"	0.603462438467869	5.18980290287524	111.684031690009	2.75552377654806e-14	7.58863143579641e-12
"ENSMUSG00000021111"	0.339313587835406	6.91918240144489	111.470228393189	2.84832546448461e-14	7.73052043092802e-12
"ENSMUSG00000014782"	1.54037224709459	2.41880081861333	115.733249154496	2.95816009121047e-14	7.91392343258549e-12
"ENSMUSG00000075511"	-1.20251337850112	2.43443195667349	110.688554907562	3.21624030369819e-14	8.39191498500799e-12
"ENSMUSG00000022462"	0.575812541481613	6.75366909975581	110.633060796551	3.24417260781107e-14	8.39191498500799e-12
"ENSMUSG00000032940"	-0.696027671646004	2.41282204539219	110.579708348391	3.27126498587912e-14	8.39191498500799e-12
"ENSMUSG00000056313"	1.63884802072134	1.04853043511031	110.47851856332	3.32329783105263e-14	8.41018898407063e-12
"ENSMUSG00000028243"	0.322713564408995	5.93110403561231	108.911804293074	4.24859863134249e-14	1.0543559638848e-11
"ENSMUSG00000102234"	1.47511821565058	1.90912344026098	110.56270305702	4.27890496370184e-14	1.0543559638848e-11
"ENSMUSG00000054619"	0.703926393478501	4.37659231365542	107.269871579789	5.51056552051719e-14	1.34021247406137e-11
"ENSMUSG00000050121"	-1.11631396306763	3.63020786830937	111.647360725061	5.61389997671536e-14	1.34783980594806e-11
"ENSMUSG00000034832"	0.479590479407113	6.48582570209557	106.324699314619	6.40855635595946e-14	1.51915234022852e-11
"ENSMUSG00000062861"	-0.548824362242861	3.28844844002816	105.883053299608	6.87914063340017e-14	1.60488740923376e-11
"ENSMUSG00000031853"	-1.08695567333107	1.7646540336135	105.826784383934	6.94162867239464e-14	1.60488740923376e-11
"ENSMUSG00000027188"	-0.555168144013066	5.19898113332714	105.133396564799	7.76200293695587e-14	1.7726710853704e-11
"ENSMUSG00000025324"	0.994749812627629	3.6543885293567	108.372361269503	7.8900767010071e-14	1.78021043831036e-11
"ENSMUSG00000034936"	1.00006677871761	3.81665275013372	108.465928536919	8.44954183253553e-14	1.88374487973682e-11
"ENSMUSG00000025964"	-0.317300312629827	7.28322605782262	103.935953409879	9.42482582120547e-14	2.07645544886723e-11
"ENSMUSG00000025931"	0.709545940754147	6.97250061971168	106.552163985082	1.10406951559142e-13	2.40417556028843e-11
"ENSMUSG00000015217"	-0.642504224603237	5.06148046053797	102.753094630066	1.14341298237385e-13	2.45890380652231e-11
"ENSMUSG00000021556"	0.671498074600453	4.9829129406471	103.269072805935	1.15546288767001e-13	2.45890380652231e-11
"ENSMUSG00000072919"	1.59194848637202	0.90302836554845	102.559981471235	1.18023417101245e-13	2.48339835062362e-11
"ENSMUSG00000032243"	1.47343813741866	0.908620619738698	102.262272077327	1.23943453706045e-13	2.57898784172568e-11
"ENSMUSG00000050211"	-1.31033497034627	3.74102152569712	110.552863253342	1.28175096239775e-13	2.63773079921127e-11
"ENSMUSG00000022136"	0.593136969828824	5.89190859425197	102.074435741739	1.30084365069941e-13	2.64792380941824e-11
"ENSMUSG00000106019"	-0.853663752416135	3.06595464001612	101.760168997404	1.3463808139967e-13	2.71114768857163e-11
"ENSMUSG00000019734"	0.922694443909527	2.98721584359025	101.461486726897	1.41451400028765e-13	2.81804294504116e-11
"ENSMUSG00000070461"	0.558462072901559	4.33953071301312	100.363561956587	1.69741179065008e-13	3.34604532668464e-11
"ENSMUSG00000021062"	0.317420024899824	8.14777091202263	99.4052401344487	1.99242266529811e-13	3.88667700552477e-11
"ENSMUSG00000043557"	1.01014043080497	5.10641090942336	107.227980792588	2.10157054062051e-13	4.05733108393818e-11
"ENSMUSG00000031628"	-0.585667756360133	3.93817079427897	98.9747902970018	2.14185018397845e-13	4.09290085666983e-11
"ENSMUSG00000019916"	0.647804575076668	5.56687718430568	99.4235600853828	2.50626322613368e-13	4.74088802381873e-11
"ENSMUSG00000011837"	-0.47681195580565	4.04044557127531	97.4681223392831	2.76346812915354e-13	5.17514676546583e-11
"ENSMUSG00000054720"	0.524751434141285	5.06858466469133	97.1984343660583	2.89324033372907e-13	5.33208449848118e-11
"ENSMUSG00000021025"	0.822593551903256	3.96211709131779	98.3955899233711	2.90421647271363e-13	5.33208449848118e-11
"ENSMUSG00000053070"	0.706061851642055	2.81610330081048	97.0787277127737	2.95285956789714e-13	5.36875739106891e-11
"ENSMUSG00000069171"	-0.467684424370785	5.59393017867337	96.9315993168829	3.0278917194271e-13	5.45224309901071e-11
"ENSMUSG00000039206"	-0.435908502582771	5.12890679536762	96.7678449757978	3.11374046685306e-13	5.55343025931022e-11
